שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס
אבו סנאן,473,7,716,428,1,427,3,1,21,215,0,0,0,0,0,0,2,0,0,0,72,0,8,13,15,1,2,0,1,0,0,0,0,60,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11
אבו סנאן,473,8,729,371,10,361,3,1,54,212,0,0,0,0,0,1,0,0,2,0,32,1,2,7,10,0,0,0,2,0,0,0,0,22,0,0,0,0,0,2,0,0,2,0,1,0,1,2,4
אבו סנאן,473,9,684,334,10,324,4,0,62,141,0,0,0,0,0,0,0,0,0,0,22,0,16,10,14,0,0,0,1,0,0,1,0,44,0,1,0,0,0,1,0,0,1,1,1,0,1,0,3
אבו סנאן,473,10,742,329,3,326,7,0,73,120,0,0,0,0,0,1,0,0,0,0,30,0,11,10,12,1,0,0,0,1,1,0,0,51,0,1,1,0,0,0,1,0,1,0,0,0,0,1,3
אבו סנאן,473,11,697,347,4,343,6,4,17,77,0,0,1,0,0,0,0,0,0,0,53,0,45,5,20,2,2,0,6,2,0,1,0,90,0,0,0,0,0,4,0,0,0,0,0,0,1,0,7
אבו סנאן,473,12,692,358,6,352,10,0,22,62,0,0,0,0,0,1,0,0,0,0,53,0,40,14,10,0,4,0,3,0,1,0,0,115,0,0,0,0,1,7,0,0,0,1,1,1,1,0,5
אבו סנאן,473,13,670,343,4,339,1,0,56,121,1,0,0,0,0,0,0,0,0,0,26,0,13,12,11,0,0,0,6,0,1,0,0,85,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0
אבו עבדון (שבט),958,1,138,12,0,12,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
אבו קורינאת (שבט),968,1,730,196,4,192,3,0,125,10,0,0,0,0,0,2,0,0,0,0,1,0,0,5,7,0,0,0,0,1,0,0,1,29,1,0,0,0,1,0,1,0,0,0,1,0,1,2,1
אבו קורינאת (שבט),968,2,738,160,1,159,0,0,118,7,0,0,0,0,0,0,0,0,0,1,0,0,2,1,5,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
אבו קורינאת (שבט),968,3,740,165,4,161,1,0,110,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,0,0,0,0,0,0,21,0,0,0,1,2,0,0,0,0,1,0,1,1,0,1
אבו קורינאת (שבט),968,4,719,119,2,117,4,0,80,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
אבו קרינאת (יישוב),1342,1,543,213,4,209,0,0,82,24,0,0,0,0,0,1,0,0,0,1,0,0,0,3,15,2,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
אבו רובייעה (שבט),966,1.1,654,104,1,103,6,0,69,2,2,0,0,0,2,0,1,1,1,0,3,0,0,3,3,2,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
אבו רובייעה (שבט),966,1.2,654,89,2,87,1,0,58,14,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
אבו רובייעה (שבט),966,1.3,654,143,2,141,3,0,103,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
אבו רובייעה (שבט),966,1.4,654,120,2,118,4,0,70,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
אבו רובייעה (שבט),966,1.5,654,110,0,110,2,0,78,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,3,0,0,1,0,5,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0
אבו רובייעה (שבט),966,1.6,649,195,1,194,8,0,139,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
אבו רוקייק (שבט),961,1.1,671,110,4,106,0,0,99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
אבו רוקייק (שבט),961,1.2,671,133,1,132,1,1,108,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
אבו רוקייק (שבט),961,1.3,671,203,1,202,0,2,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
אבו רוקייק (שבט),961,1.4,671,280,2,278,0,0,267,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
אבו רוקייק (שבט),961,1.5,671,158,1,157,0,0,135,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,9,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
אבו רוקייק (שבט),961,1.6,671,107,4,103,0,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
אבו רוקייק (שבט),961,1.7,665,138,0,138,1,0,123,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
אבו תלול,1375,1.1,434,195,2,193,0,0,183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
אבו תלול,1375,1.2,433,195,2,193,0,0,172,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
אבטין,652,1,573,177,2,175,4,0,20,17,1,1,0,0,0,0,0,0,0,0,2,0,0,5,5,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84
אבטין,652,2,560,164,2,162,1,0,41,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,49
אבטין,652,3,641,304,14,290,2,0,146,78,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18
אבטליון,1275,1,305,230,1,229,35,0,0,3,10,0,0,0,0,1,0,0,0,0,5,0,1,17,16,12,0,0,0,6,0,0,0,122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
אביאל,679,1,521,412,2,410,44,1,0,2,5,0,0,0,0,1,0,0,0,0,19,0,0,74,27,9,0,0,0,17,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אביבים,1115,1,332,246,1,245,1,2,0,0,3,0,0,0,2,0,0,0,0,0,56,0,1,145,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
אביגדור,819,1,617,498,0,498,49,1,0,0,10,0,0,0,0,3,0,0,0,0,8,0,0,44,21,19,0,0,0,17,0,0,0,321,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
אביחיל,175,1,407,301,1,300,38,0,1,1,1,0,0,0,0,3,1,0,0,0,10,0,4,32,22,9,0,0,0,6,0,0,0,171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
אביחיל,175,2,565,444,0,444,39,0,0,0,8,0,0,0,0,3,0,0,0,0,7,0,2,51,27,3,0,0,0,12,1,0,0,285,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2
אביטל,2052,1,384,293,0,293,6,2,0,0,9,1,0,0,0,24,0,0,0,4,8,0,2,184,0,6,0,0,0,7,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
אביעזר,1070,1,563,443,1,442,39,0,0,3,26,0,0,0,0,11,0,0,0,0,22,0,6,160,15,19,0,0,0,11,0,0,0,112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17
אבירים,1220,1,193,153,1,152,30,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,1,7,37,2,0,0,0,2,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
אבן יהודה,182,1.1,564,437,2,435,29,2,1,0,10,0,0,0,0,8,0,0,0,0,33,0,2,144,16,15,0,0,0,9,0,0,0,154,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
אבן יהודה,182,1.2,564,431,1,430,19,8,0,0,11,0,0,0,1,10,0,0,0,0,19,0,0,190,11,17,0,0,0,11,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
אבן יהודה,182,1.3,563,435,0,435,30,9,0,0,18,0,0,0,1,10,0,0,0,0,16,0,2,171,5,31,0,0,0,11,0,0,0,114,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15
אבן יהודה,182,2,576,421,4,417,35,0,0,0,13,0,0,0,0,7,0,0,0,0,17,0,0,134,13,5,0,0,0,15,1,0,0,151,0,0,0,0,0,2,0,0,0,1,0,0,0,0,23
אבן יהודה,182,3,683,549,3,546,56,0,0,1,11,0,0,0,0,2,0,0,0,0,15,0,1,78,23,12,0,0,0,6,0,0,0,336,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
אבן יהודה,182,4,744,568,0,568,66,2,0,1,10,0,0,0,2,0,1,0,0,0,13,0,3,91,22,9,2,0,0,12,0,0,0,332,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
אבן יהודה,182,5,635,442,0,442,23,0,0,0,12,0,0,0,0,14,0,0,0,1,24,0,2,107,11,9,0,0,0,10,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
אבן יהודה,182,6,623,496,1,495,42,1,0,0,4,0,0,0,1,5,0,0,0,0,13,0,0,69,15,15,0,0,0,12,0,0,0,316,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
אבן יהודה,182,7,768,630,0,630,50,0,0,0,7,0,0,0,0,4,0,0,0,0,19,0,4,100,12,14,0,0,0,8,0,0,0,409,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
אבן יהודה,182,9,718,548,1,547,73,0,0,0,9,0,0,0,0,3,0,0,0,0,12,0,1,50,24,11,0,0,0,13,0,0,1,348,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
אבן יהודה,182,10,657,485,2,483,26,2,0,0,11,0,0,0,2,4,0,0,0,0,13,0,4,133,15,13,0,0,0,11,1,0,0,240,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
אבן יהודה,182,11,741,591,1,590,56,0,1,0,10,0,0,0,1,4,0,0,0,0,20,0,1,87,32,8,0,0,0,25,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אבן יהודה,182,12,638,474,4,470,42,0,0,2,6,0,0,0,0,1,0,0,0,0,13,0,0,67,32,7,0,0,0,12,0,0,0,284,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
אבן יהודה,182,14,727,576,1,575,64,4,0,1,10,0,0,0,0,8,1,0,0,0,10,0,1,102,30,6,0,0,1,9,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
אבן יהודה,182,15,632,499,0,499,42,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,2,70,27,18,0,0,1,15,0,0,0,310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אבן מנחם,1081,1,283,201,0,201,15,1,0,0,2,0,0,0,1,6,0,0,0,0,13,0,1,114,1,1,0,0,0,6,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
אבן ספיר,783,1,497,359,4,355,19,1,0,0,21,0,0,0,0,1,1,0,0,0,25,0,0,172,6,8,0,0,0,23,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
אבן שמואל,400,1,452,387,1,386,3,18,0,0,18,0,0,0,0,134,0,0,0,0,1,0,0,122,0,64,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
אבן שמואל,400,2,419,369,1,368,2,18,0,0,7,0,0,0,0,126,0,0,0,0,7,0,0,142,2,37,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
אבני איתן,4011,1,395,322,0,322,1,0,0,0,24,0,0,0,0,116,0,0,0,0,8,0,0,56,1,94,0,0,1,11,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
אבני חפץ,3793,1,524,414,1,413,1,5,0,0,11,0,0,0,0,238,0,0,0,0,1,0,0,90,0,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
אבני חפץ,3793,2,535,443,1,442,0,5,0,0,25,0,0,0,0,198,0,0,0,0,3,0,0,120,0,48,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
אבשלום,1311,1,240,147,6,141,2,3,0,0,7,0,0,0,0,0,0,0,0,0,10,0,49,34,4,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
אדורה,3759,1,245,195,0,195,4,1,0,0,20,0,0,0,0,56,0,0,0,0,1,0,3,53,3,17,0,0,0,4,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
אדירים,113,1,230,175,0,175,0,3,0,0,7,0,0,0,0,6,0,0,0,0,3,0,0,96,0,4,0,0,0,1,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,47
אדמית,1068,1,354,195,1,194,23,0,0,0,7,0,0,0,0,3,0,0,0,0,1,0,8,32,36,2,0,0,0,13,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אדרת,1123,1,549,411,3,408,13,5,0,0,18,0,0,0,0,13,0,0,0,0,10,0,0,225,7,44,0,0,0,5,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37
אודים,446,1,390,301,1,300,25,0,0,0,8,1,0,0,0,2,0,0,0,0,10,0,0,45,28,7,0,0,0,2,0,0,0,170,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
אודים,446,2,412,329,0,329,34,0,0,1,6,0,0,0,0,1,0,0,0,0,7,0,0,38,27,3,0,0,0,6,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
אודם,4010,1,113,88,0,88,5,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,9,1,5,0,0,0,12,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אוהד,1046,1,253,187,1,186,12,0,0,1,4,0,0,0,0,0,0,0,0,0,7,0,2,64,4,16,0,0,0,8,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
אום אל-פחם,2710,1,684,343,2,341,1,0,70,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
אום אל-פחם,2710,2,748,325,0,325,1,0,16,293,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
אום אל-פחם,2710,3,635,354,2,352,1,0,70,255,0,0,0,0,1,0,0,0,0,0,1,0,0,1,18,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
אום אל-פחם,2710,4,748,482,8,474,1,0,64,387,0,0,0,0,0,0,0,0,0,0,11,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
אום אל-פחם,2710,5,701,538,0,538,1,0,141,343,0,0,0,0,0,0,0,0,0,0,5,0,0,1,6,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
אום אל-פחם,2710,6,658,281,3,278,0,0,32,227,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,7,557,239,0,239,0,0,15,202,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,8,604,216,5,211,0,0,22,179,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,9,649,323,0,323,0,0,77,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,10,559,397,0,397,0,0,51,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,11,646,272,6,266,0,0,10,234,0,0,0,0,0,0,0,0,0,0,2,0,0,1,15,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
אום אל-פחם,2710,12.1,682,202,0,202,0,0,14,176,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
אום אל-פחם,2710,12.2,682,339,16,323,1,0,88,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,12.3,682,301,0,301,0,0,40,246,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,12.4,681,275,7,268,0,0,36,216,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
אום אל-פחם,2710,14,582,483,1,482,0,0,151,234,0,0,0,0,0,0,0,0,0,0,83,0,0,5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
אום אל-פחם,2710,16,548,218,4,214,1,0,6,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
אום אל-פחם,2710,17,543,196,1,195,0,0,6,166,0,0,1,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
אום אל-פחם,2710,18,762,320,3,317,0,0,17,274,0,0,1,0,0,0,0,1,0,0,0,0,0,2,13,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
אום אל-פחם,2710,19,771,337,1,336,1,0,9,304,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,20,708,321,0,321,1,0,56,247,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,21,710,284,0,284,0,0,14,256,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,22,506,214,1,213,1,0,4,184,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
אום אל-פחם,2710,23,691,232,2,230,2,0,10,201,1,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,24,795,259,4,255,0,0,19,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0
אום אל-פחם,2710,25,590,354,0,354,1,0,51,269,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
אום אל-פחם,2710,26,624,280,4,276,0,0,8,247,0,0,0,0,0,1,0,0,0,0,1,0,0,2,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
אום אל-פחם,2710,28,765,231,6,225,1,0,11,196,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
אום אל-פחם,2710,29,706,249,6,243,0,0,21,207,0,0,0,0,0,0,0,1,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
אום אל-פחם,2710,30,631,268,5,263,1,0,36,200,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
אום אל-פחם,2710,31,567,294,0,294,0,0,24,259,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
אום אל-פחם,2710,32.1,615,202,3,199,0,0,14,166,0,0,0,0,0,0,0,0,0,0,3,0,0,1,11,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0
אום אל-פחם,2710,32.2,615,219,1,218,1,0,10,187,0,0,0,0,0,1,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,32.3,613,270,12,258,0,0,20,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,33,571,247,0,247,0,1,17,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
אום אל-פחם,2710,34,511,222,3,219,0,0,12,191,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,35,655,282,1,281,1,0,51,214,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אום אל-פחם,2710,36,649,261,2,259,0,0,20,215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
