סמל ועדה,ברזל,שם ישוב,סמל ישוב,קלפי,ריכוז,שופט,בזב,מצביעים,פסולים,כשרים,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,
17,9956,אשדוד,70,25.5,24,0,593,313,1,312,3,7,90,0,1,0,4,0,3,0,0,0,1,0,1,6,38,71,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,1,0,54,13,
17,9957,אשדוד,70,26,27,0,573,315,5,310,4,9,55,0,0,0,9,0,0,0,0,0,0,0,0,11,57,88,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,52,8,
17,9958,אשדוד,70,27.1,84,0,640,266,2,264,7,8,1,1,1,0,10,0,8,0,0,0,1,0,0,8,38,90,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2,0,0,0,39,19,
17,9959,אשדוד,70,27.2,84,0,640,248,2,246,9,3,2,0,0,0,8,0,0,0,0,0,0,0,0,15,54,76,6,0,0,0,0,30,0,0,0,0,0,0,0,0,0,4,1,0,0,25,13,
17,9960,אשדוד,70,28,36,0,451,225,5,220,4,11,1,0,0,0,8,0,3,0,0,0,0,0,0,10,24,102,3,0,0,0,0,13,0,0,0,0,1,0,0,0,0,1,0,0,0,28,11,
17,9961,אשדוד,70,30,78,0,616,517,2,515,0,1,111,0,0,0,12,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,
17,9962,אשדוד,70,31.1,12,0,592,344,3,341,1,5,22,1,0,0,7,0,1,0,0,0,0,0,0,9,18,81,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,177,6,
17,9963,אשדוד,70,31.2,12,0,592,417,4,413,0,10,52,1,0,0,7,0,0,0,0,0,0,0,1,3,25,93,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,208,5,
17,9964,אשדוד,70,31.3,12,0,592,357,5,352,3,11,59,0,0,0,5,0,2,0,0,0,0,0,0,8,39,69,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,130,6,
17,9965,אשדוד,70,37.1,8,0,530,343,4,339,1,6,29,0,0,0,14,0,0,0,0,0,0,0,0,3,6,64,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,3,0,0,0,198,5,
17,9966,אשדוד,70,37.2,8,0,530,364,2,362,3,5,54,0,0,0,19,0,0,0,0,0,0,0,0,7,17,63,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,181,5,
17,9967,אשדוד,70,37.3,8,0,530,371,0,371,0,1,31,0,0,0,5,0,1,0,0,0,0,0,0,3,13,52,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,249,8,
17,9968,אשדוד,70,37.4,8,0,529,332,3,329,1,10,69,0,0,0,11,0,1,0,0,0,0,0,0,0,23,55,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,142,5,
17,9969,אשדוד,70,39,25,0,467,209,4,205,1,8,1,0,0,0,2,1,0,0,0,0,0,0,1,14,43,81,2,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,19,12,
17,9970,אשדוד,70,40,21,0,501,188,2,186,0,6,0,0,0,0,5,0,1,0,0,0,1,0,0,5,45,71,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0,19,13,
17,9971,אשדוד,70,41,25,0,449,216,3,213,3,4,1,0,0,0,2,0,2,0,0,0,0,0,0,4,38,82,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,52,6,
17,9972,אשדוד,70,42,21,0,498,213,2,211,1,5,2,0,0,0,10,0,1,0,0,0,0,0,1,5,37,100,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,20,10,
17,9973,אשדוד,70,43,25,0,488,229,0,229,4,14,1,0,0,0,3,1,1,0,0,0,0,0,0,15,55,83,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,19,11,
17,9974,אשדוד,70,45,26,0,625,338,3,335,18,39,0,0,0,0,20,0,7,0,0,0,0,0,0,21,17,116,10,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,
17,9975,אשדוד,70,46,16,0,584,271,2,269,1,9,0,0,0,0,14,0,1,0,0,0,0,0,0,16,37,126,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,26,17,
17,9976,אשדוד,70,48,18,0,482,254,1,253,5,1,97,0,0,0,6,0,2,0,0,0,0,0,0,3,23,56,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,
17,9977,אשדוד,70,49,18,0,640,357,1,356,4,15,13,0,0,0,7,0,0,0,0,0,0,0,0,22,74,120,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,1,0,0,0,58,13,
17,9978,אשדוד,70,53.1,17,0,591,368,0,368,5,16,5,0,0,0,32,0,0,0,1,0,0,0,0,14,28,153,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,85,8,
17,9979,אשדוד,70,53.2,17,0,591,309,3,306,3,12,3,0,0,0,26,0,0,0,0,0,0,0,1,8,33,122,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,2,0,0,0,47,21,
17,9980,אשדוד,70,53.3,17,0,591,361,3,358,3,26,3,0,0,0,10,0,0,0,0,0,0,0,0,21,45,151,2,0,1,0,1,33,0,0,0,0,0,0,0,0,0,0,1,0,0,45,16,
17,9981,אשדוד,70,53.4,17,0,591,341,6,335,6,19,2,0,0,0,16,0,1,0,0,0,0,0,0,14,39,155,1,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,1,0,0,44,15,
17,9982,אשדוד,70,53.5,17,0,591,346,0,346,7,11,0,0,0,0,20,0,1,0,0,0,0,0,0,16,43,127,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,64,20,
17,9983,אשדוד,70,53.6,17,0,588,307,2,305,11,16,2,0,0,0,21,0,1,0,0,0,0,0,0,3,51,120,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,
17,9984,אשדוד,70,54.1,40,0,569,376,1,375,3,27,3,0,0,0,23,0,2,0,0,0,0,0,0,15,27,162,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,58,14,
17,9985,אשדוד,70,54.2,40,0,569,342,3,339,7,27,5,0,0,0,17,0,6,0,0,0,0,0,0,13,33,140,1,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,45,18,
17,9986,אשדוד,70,54.3,40,0,569,360,2,358,3,17,11,0,0,0,18,0,5,0,0,0,0,0,0,11,58,124,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,58,16,
17,9987,אשדוד,70,54.4,40,0,569,350,2,348,4,24,5,0,0,0,10,0,2,0,0,0,0,0,1,18,45,140,1,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,37,21,
17,9988,אשדוד,70,54.5,40,0,569,353,3,350,2,19,6,0,0,0,15,0,0,0,0,0,0,0,1,11,48,121,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,39,27,
17,9989,אשדוד,70,54.6,40,0,569,335,3,332,8,11,6,0,0,0,10,0,0,0,0,0,0,0,0,10,63,145,1,0,1,0,0,39,0,0,0,0,0,0,0,0,0,1,0,0,0,17,20,
17,9990,אשדוד,70,55.1,45,0,545,304,3,301,5,25,2,0,0,0,14,0,2,0,0,0,0,0,0,11,21,138,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,48,10,
17,9991,אשדוד,70,55.2,45,0,545,283,3,280,5,19,2,0,0,0,15,0,3,0,0,0,0,0,0,11,35,125,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,
17,9992,אשדוד,70,55.3,45,0,545,295,1,294,5,17,2,0,0,0,10,0,0,0,0,0,0,0,0,5,45,132,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,
17,9993,אשדוד,70,55.4,45,0,545,298,0,298,1,11,8,0,0,0,11,0,3,0,0,0,0,0,0,7,44,143,1,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,32,13,
17,9994,אשדוד,70,55.5,45,0,544,267,3,264,5,10,2,0,0,0,7,0,2,0,0,0,0,0,0,10,53,95,3,0,0,0,0,43,0,0,0,0,0,0,0,0,1,1,0,0,0,21,11,
17,9995,אשדוד,70,58,1,0,628,298,1,297,1,8,62,0,0,0,9,0,3,0,0,0,0,1,0,5,74,55,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,49,11,
17,9996,אשדוד,70,59,1,0,485,282,1,281,1,6,93,0,0,0,4,1,0,0,0,0,0,0,0,2,9,53,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,97,5,
17,9997,אשדוד,70,61,71,0,525,208,6,202,3,10,1,0,0,0,5,0,0,0,0,0,0,0,0,9,36,87,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,39,3,
17,9998,אשדוד,70,62,78,0,545,333,2,331,0,2,79,0,0,0,14,0,2,0,0,0,0,0,0,2,7,17,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,195,8,
17,9999,אשדוד,70,63,1,0,592,375,1,374,0,10,106,0,0,0,12,0,0,0,0,0,0,0,1,6,23,55,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,152,4,
17,10000,אשדוד,70,66,22,0,578,370,1,369,5,22,3,0,0,0,5,0,6,0,0,0,0,0,0,21,26,170,3,0,0,0,0,44,0,0,0,0,0,0,0,0,0,3,0,0,0,50,11,
17,10001,אשדוד,70,68,66,0,609,339,0,339,4,14,2,2,0,0,11,0,2,0,0,0,0,0,0,14,56,143,3,0,0,0,0,46,0,0,0,0,0,0,0,0,0,3,0,0,0,25,14,
17,10002,אשדוד,70,71,18,0,468,251,2,249,1,9,36,0,0,0,13,0,1,0,0,0,0,0,0,16,29,86,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,42,3,
17,10003,אשדוד,70,72,27,0,469,231,1,230,5,5,3,1,0,0,11,0,4,0,0,0,0,0,1,21,34,81,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,1,0,0,0,39,10,
17,10004,אשדוד,70,73,18,0,455,256,4,252,3,7,120,0,0,0,7,0,0,0,0,0,0,0,0,5,7,47,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,
17,10005,אשדוד,70,74,27,0,599,325,1,324,2,10,43,0,0,0,7,0,0,0,0,0,0,0,1,22,20,118,3,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,81,7,
17,10006,אשדוד,70,80,22,0,497,255,3,252,0,11,1,0,0,0,5,0,0,0,0,0,0,0,0,2,53,112,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9,
17,10007,אשדוד,70,81,22,0,636,374,7,367,6,24,0,0,0,0,7,2,4,0,0,0,0,0,0,22,53,130,3,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,39,24,
17,10008,אשדוד,70,82.1,46,0,603,326,3,323,0,12,2,0,0,0,15,2,3,0,0,0,0,0,0,14,22,152,5,0,0,0,1,37,0,0,0,0,0,0,0,0,0,1,0,0,0,38,19,
17,10009,אשדוד,70,82.2,46,0,603,316,2,314,1,13,3,0,0,0,8,0,6,0,0,0,0,0,0,8,37,136,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,54,10,
17,10010,אשדוד,70,82.3,46,0,603,339,3,336,7,21,4,0,0,0,16,0,2,0,0,0,0,0,0,10,63,122,3,0,0,0,0,35,0,0,0,0,0,2,0,0,0,3,0,0,0,33,15,
17,10011,אשדוד,70,88,16,0,577,242,2,240,4,15,1,0,0,0,6,0,0,0,0,0,0,0,0,13,48,96,1,0,0,0,0,20,1,0,0,0,0,0,0,0,0,2,0,0,0,22,11,
17,10012,אשדוד,70,89.1,47,0,587,357,0,357,7,22,2,0,0,0,16,0,4,0,0,0,0,0,0,27,8,176,5,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,41,16,
17,10013,אשדוד,70,89.2,47,0,587,345,2,343,8,21,1,0,0,0,10,0,3,0,0,0,0,0,0,24,30,118,9,0,0,1,0,47,0,0,0,0,0,0,0,0,0,2,0,0,0,41,28,
17,10014,אשדוד,70,89.3,47,0,587,361,0,361,15,22,2,0,0,0,18,0,6,0,0,0,0,0,0,32,19,117,3,0,0,0,0,69,0,0,0,0,0,0,0,0,0,3,0,0,0,33,22,
17,10015,אשדוד,70,89.4,47,0,587,360,0,360,12,25,1,0,0,0,6,0,4,0,0,0,0,0,0,27,20,139,7,0,0,0,0,56,0,0,0,0,0,0,0,0,0,1,0,0,0,31,31,
17,10016,אשדוד,70,89.5,47,0,587,339,1,338,11,30,4,0,0,0,19,0,4,0,0,0,0,0,0,29,26,89,7,0,0,0,0,76,0,0,0,0,0,0,0,0,0,3,0,0,0,15,25,
17,10017,אשדוד,70,90,26,0,582,342,1,341,16,25,4,1,0,1,26,0,4,0,0,0,0,0,0,18,27,127,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,22,30,
17,10018,אשדוד,70,91.1,10,0,624,376,3,373,10,31,4,0,0,0,13,0,4,0,0,0,0,0,0,18,10,176,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0,2,0,0,0,46,19,
17,10019,אשדוד,70,91.2,10,0,624,381,2,379,8,31,0,0,0,0,13,0,5,0,0,0,0,0,0,18,23,146,3,0,0,0,0,57,0,0,0,0,0,0,0,0,0,1,0,0,0,51,23,
17,10020,אשדוד,70,91.3,10,0,624,312,1,311,7,15,1,0,0,0,9,0,5,0,0,0,0,0,0,13,23,135,6,0,0,0,0,52,0,0,0,0,0,0,0,0,0,1,1,0,0,26,17,
17,10021,אשדוד,70,91.4,10,0,624,379,1,378,7,19,3,0,0,0,10,0,1,0,0,0,0,0,0,31,23,187,1,1,0,0,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,40,12,
17,10022,אשדוד,70,91.5,10,0,624,359,0,359,5,19,1,0,0,0,16,0,7,0,0,0,0,0,1,25,32,156,2,0,1,0,0,41,0,0,0,0,0,0,0,0,0,2,0,0,0,33,18,
17,10023,אשדוד,70,91.6,10,0,619,377,4,373,10,24,13,0,0,0,11,0,3,0,0,0,0,0,0,25,33,128,4,0,0,0,0,49,0,0,0,0,0,0,0,1,0,1,0,0,0,46,25,
17,10024,אשדוד,70,92,26,0,631,370,3,367,17,21,3,0,0,0,15,0,4,0,0,0,0,0,0,23,30,127,7,0,0,0,0,61,0,0,0,0,0,0,0,0,0,4,0,0,0,30,25,
17,10025,אשדוד,70,93,16,0,580,334,3,331,8,15,4,0,0,1,17,0,3,0,0,0,0,0,0,17,33,131,2,0,0,0,0,37,0,0,0,0,0,0,0,0,0,1,0,0,0,45,17,
17,10026,אשדוד,70,94,7,0,457,261,1,260,1,6,37,0,0,0,10,0,0,0,0,0,0,0,0,6,30,84,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,69,7,
17,10027,אשדוד,70,95,7,0,554,290,3,287,3,6,64,0,0,0,12,0,1,0,0,0,0,0,0,8,24,102,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,
17,10028,אשדוד,70,97,7,0,499,246,1,245,1,8,12,0,0,0,9,1,0,0,0,0,0,0,0,5,57,76,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,3,0,0,0,50,5,
17,10029,אשדוד,70,99.1,51,0,634,395,3,392,4,10,3,0,0,0,2,0,1,0,0,0,0,0,0,8,126,100,1,0,0,0,1,56,0,0,0,0,0,0,0,0,0,3,0,0,0,56,21,
17,10030,אשדוד,70,99.2,51,0,634,418,2,416,5,17,2,0,0,0,11,0,3,0,0,0,0,0,0,13,130,103,4,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,47,22,
17,10031,אשדוד,70,99.3,51,0,634,413,5,408,5,20,3,0,0,0,5,0,3,0,0,0,0,0,0,5,154,94,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,1,0,0,0,36,25,
17,10032,אשדוד,70,100,26,0,548,301,3,298,9,17,1,0,1,0,6,0,2,0,0,0,0,0,1,28,40,115,6,0,0,0,0,39,0,0,0,0,0,0,0,0,1,3,0,0,0,12,17,
17,10033,אשדוד,70,109.1,80,0,540,367,2,365,3,16,1,0,0,0,13,0,0,0,0,0,0,0,0,25,23,159,1,1,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,44,21,
17,10034,אשדוד,70,109.2,80,0,540,383,0,383,7,22,3,0,0,0,12,0,6,0,0,0,0,0,0,27,32,150,8,0,0,0,0,51,0,1,0,0,0,0,0,0,0,1,0,0,0,42,21,
17,10035,אשדוד,70,109.3,80,0,540,377,1,376,7,32,2,1,0,0,12,0,0,0,0,0,0,0,0,21,33,166,2,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1,0,0,0,31,25,
17,10036,אשדוד,70,109.4,80,0,540,379,0,379,10,31,1,0,0,0,10,0,10,0,0,0,0,0,0,14,37,143,9,0,0,0,0,49,0,0,0,0,0,0,0,0,0,3,0,0,0,36,26,
