סמל ועדה,ברזל,שם ישוב,סמל ישוב,קלפי,ריכוז,שופט,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס,
6,2343,אבו סנאן,473,10,4,0,761,481,4,477,11,0,362,0,0,0,1,0,0,1,0,0,1,0,1,13,15,0,1,0,1,1,58,0,0,0,1,0,0,10,
6,2344,אבו סנאן,473,11,5,0,730,408,6,402,6,1,195,0,0,0,2,0,0,0,0,0,0,0,1,35,24,0,0,0,0,0,113,0,0,0,0,0,0,25,
6,2345,אבו סנאן,473,12,4,0,721,425,5,420,9,0,167,0,0,0,2,1,0,1,1,0,0,0,0,51,22,1,0,0,0,0,138,0,0,0,0,1,0,26,
6,2346,אבו סנאן,473,13,4,0,678,434,1,433,6,0,276,0,0,0,0,0,0,1,0,0,0,0,0,23,24,0,1,0,0,1,96,0,0,0,0,0,0,5,
18,9873,אבו עבדון שבט,958,1,1,0,142,41,1,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,9874,אבו קורינאת שבט,968,1,1,0,756,371,1,370,4,0,352,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0,1,1,0,1,1,0,
18,9875,אבו קורינאת שבט,968,2,1,0,762,325,1,324,0,0,305,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,15,0,0,0,0,0,0,0,
18,9876,אבו קורינאת שבט,968,3,1,0,758,320,3,317,4,0,301,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,7,0,1,0,0,0,0,0,
18,9877,אבו קורינאת שבט,968,4,1,0,761,320,3,317,1,0,305,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,3,0,0,0,0,1,0,0,
18,9878,אבו קרינאת יישוב,1342,1,2,0,578,334,3,331,9,0,264,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,52,0,2,0,0,0,0,0,
18,9879,אבו רובייעה שבט,966,1.1,1,0,677,265,6,259,1,0,243,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,0,2,1,0,0,1,1,
18,9880,אבו רובייעה שבט,966,1.2,1,0,677,246,5,241,2,0,219,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,1,10,0,0,1,1,1,0,1,
18,9881,אבו רובייעה שבט,966,1.3,1,0,677,271,1,270,2,0,264,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,
18,9882,אבו רובייעה שבט,966,1.4,1,0,677,274,3,271,2,0,261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,1,
18,9883,אבו רובייעה שבט,966,1.5,1,0,677,218,2,216,0,0,205,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,5,0,0,0,0,1,0,0,
18,9884,אבו רובייעה שבט,966,1.6,1,0,675,250,4,246,1,1,239,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,
18,9885,אבו רוקייק שבט,961,1,1,0,636,193,2,191,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,
18,9886,אבו רוקייק שבט,961,2,1,0,681,338,1,337,0,1,330,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,
18,9887,אבו רוקייק שבט,961,3,1,0,632,327,0,327,1,0,322,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,
18,9888,אבו רוקייק שבט,961,4,1,0,769,367,1,366,2,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,2,0,
18,9889,אבו רוקייק שבט,961,5,1,0,683,337,0,337,0,1,333,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
18,9890,אבו רוקייק שבט,961,6,1,0,705,340,0,340,0,0,335,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,
18,9891,אבו רוקייק שבט,961,7,1,0,764,269,1,268,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,
18,9892,אבו תלול,1375,1,1,0,469,272,1,271,0,0,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,
18,9893,אבו תלול,1375,2,1,0,474,304,1,303,0,0,300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
8,3387,אבטין,652,1,1,0,584,339,4,335,1,0,316,0,0,0,0,0,0,1,0,0,0,1,0,1,5,0,0,0,0,1,8,0,0,0,0,1,0,0,
8,3388,אבטין,652,2,1,0,575,357,2,355,2,0,348,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,
8,3389,אבטין,652,3,2,0,659,465,4,461,1,0,446,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,1,7,0,0,0,0,0,0,1,
6,2562,אבטליון,1275,1,1,0,308,233,0,233,35,0,7,1,0,0,9,0,0,0,0,0,0,0,0,4,25,10,0,0,0,0,142,0,0,0,0,0,0,0,
9,4071,אביאל,679,1,1,0,519,413,0,413,49,4,6,1,0,0,9,0,0,0,0,0,0,0,0,7,107,1,0,0,1,0,225,0,0,0,0,0,0,3,
3,1119,אביבים,1115,1,1,0,332,246,0,246,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,4,0,0,0,0,0,0,61,
17,9113,אביגדור,819,1,1,0,617,488,4,484,62,0,0,0,0,0,31,0,0,0,0,0,0,0,0,4,55,0,0,0,0,0,326,0,0,0,0,0,0,6,
10,4501,אביחיל,175,1,1,0,414,297,1,296,34,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,52,0,0,0,1,0,197,0,0,0,0,0,0,0,
10,4502,אביחיל,175,2,2,0,569,437,0,437,48,2,4,0,0,0,10,0,0,0,0,0,0,0,0,9,63,0,0,0,0,0,294,0,0,0,0,0,0,7,
5,1572,אביטל,2052,1,1,0,417,330,0,330,4,10,0,0,0,0,15,0,0,0,0,0,0,0,1,4,240,0,0,0,4,0,29,0,0,0,0,0,0,23,
2,825,אביעזר,1070,1,1,0,577,445,0,445,32,1,4,1,0,0,33,0,0,0,0,0,0,0,0,21,196,0,0,0,3,0,139,0,0,0,0,0,0,15,
6,2738,אבירים,1220,1,1,0,210,160,1,159,58,0,5,0,0,0,2,0,0,0,0,0,0,0,0,2,7,0,0,0,1,0,82,0,0,0,0,0,0,2,
10,4617,אבן יהודה,182,1,2,0,715,529,0,529,49,9,0,1,0,0,15,0,0,0,0,0,0,0,0,17,168,0,0,0,0,0,258,0,0,0,0,0,0,12,
10,4618,אבן יהודה,182,2,8,0,575,432,1,431,36,1,0,0,0,0,10,0,0,0,0,0,0,0,1,7,164,0,0,0,3,0,179,0,0,1,0,0,0,29,
10,4619,אבן יהודה,182,3,9,0,691,540,2,538,54,0,5,0,0,0,12,0,0,0,0,0,0,0,0,13,87,0,0,1,0,0,365,0,0,0,0,0,0,1,
10,4620,אבן יהודה,182,5,5,0,644,440,2,438,32,0,2,2,0,0,21,0,1,0,0,0,0,0,1,12,139,2,0,0,1,0,216,0,0,0,0,0,0,9,
10,4621,אבן יהודה,182,6,7,0,629,485,2,483,39,4,2,1,0,0,13,0,0,0,0,0,0,0,0,10,76,0,0,0,0,0,334,0,0,0,0,0,0,4,
10,4622,אבן יהודה,182,8,2,0,482,365,1,364,25,7,0,0,0,0,7,0,0,0,0,0,0,0,0,2,196,0,0,0,3,0,89,0,0,0,0,0,0,35,
10,4623,אבן יהודה,182,9.1,4,0,634,500,1,499,56,3,1,1,0,0,8,0,0,0,0,0,0,0,0,14,106,0,0,0,1,0,306,0,0,0,0,0,0,3,
10,4624,אבן יהודה,182,9.2,4,0,634,487,2,485,60,1,4,0,0,0,8,0,0,0,0,0,0,0,0,13,75,0,0,0,0,0,321,0,0,0,0,0,0,3,
10,4625,אבן יהודה,182,9.3,4,0,634,497,1,496,62,2,2,0,0,0,10,0,0,0,0,0,0,0,0,11,98,0,0,0,0,0,309,0,0,0,0,0,0,2,
10,4626,אבן יהודה,182,9.4,4,0,634,506,5,501,57,0,1,0,0,0,6,0,0,0,0,0,0,0,0,9,86,0,0,0,1,0,340,0,0,0,0,0,0,1,
10,4627,אבן יהודה,182,9.5,4,0,634,470,3,467,45,7,1,0,0,0,8,0,0,0,0,0,0,0,0,9,97,0,0,0,1,0,291,0,0,0,0,0,0,8,
10,4628,אבן יהודה,182,9.6,4,0,634,485,0,485,43,4,1,0,0,0,10,0,0,0,0,0,0,0,0,13,80,0,0,0,0,0,331,0,0,0,0,0,0,3,
10,4629,אבן יהודה,182,9.7,4,0,634,498,2,496,60,0,4,1,0,0,6,0,0,0,0,0,0,0,0,14,78,0,0,0,0,0,330,1,0,0,0,0,0,2,
10,4630,אבן יהודה,182,10,3,0,648,469,2,467,30,3,0,1,0,0,16,0,0,1,0,0,0,0,0,22,134,0,0,0,3,0,246,0,0,0,0,0,0,11,
10,4631,אבן יהודה,182,12,8,0,633,487,2,485,66,1,4,1,0,0,10,0,0,0,0,0,0,0,0,16,69,0,0,0,0,0,312,0,0,0,0,0,0,6,
10,4632,אבן יהודה,182,13,2,0,480,379,1,378,11,9,1,1,0,0,42,0,0,0,0,0,0,0,0,8,209,0,0,0,6,0,71,0,0,0,0,0,0,20,
6,2203,אבן מנחם,1081,1,1,0,281,193,0,193,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,125,0,0,0,1,0,33,0,0,0,0,0,0,20,
2,744,אבן ספיר,783,1,2,0,497,351,2,349,19,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,219,0,0,0,2,0,73,0,0,0,0,0,0,13,
17,9114,אבן שמואל,400,1,1,0,472,401,0,401,2,13,0,0,0,0,176,0,0,0,0,0,0,0,0,0,160,0,0,0,5,0,9,0,0,0,0,0,0,36,
17,9115,אבן שמואל,400,2,1,0,440,386,2,384,2,14,0,0,0,0,123,0,0,0,0,0,0,0,0,0,188,1,0,0,1,0,4,0,0,0,0,0,0,51,
4,1426,אבני איתן,4011,1,1,0,402,311,0,311,4,5,1,0,0,0,158,0,0,0,0,0,1,0,0,1,92,0,0,0,17,0,23,0,0,0,0,0,0,9,
10,4741,אבני חפץ,3793,1,3,0,515,408,1,407,2,10,0,0,0,0,198,0,0,0,0,0,0,0,0,0,149,0,0,0,12,0,0,0,0,0,0,0,0,36,
10,4742,אבני חפץ,3793,2,3,0,592,474,0,474,0,10,0,0,0,0,202,0,0,0,0,0,0,0,0,0,188,0,0,0,11,0,4,1,0,0,0,0,0,58,
18,9742,אבשלום,1311,1,1,0,250,158,1,157,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,74,41,1,0,0,0,0,35,0,0,0,0,0,0,0,
2,961,אדורה,3759,1,1,0,246,191,0,191,5,4,1,0,0,0,60,0,0,0,0,0,0,0,0,4,72,1,0,0,9,0,32,0,0,0,0,0,0,3,
5,1573,אדירים,113,1,1,0,233,183,0,183,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,110,0,0,0,2,0,10,0,0,0,0,0,0,58,
6,2204,אדמית,1068,1,1,0,354,195,0,195,56,0,14,0,0,0,3,0,0,0,0,0,0,0,0,18,36,1,0,0,0,0,65,1,0,0,0,0,0,1,
2,826,אדרת,1123,1,1,0,570,409,1,408,13,4,0,0,0,0,49,0,0,0,0,0,0,0,0,1,238,1,0,0,3,0,53,0,0,0,0,0,0,46,
10,4633,אודים,446,1,1,0,401,297,0,297,32,0,3,0,0,0,4,0,0,0,0,0,0,0,0,8,54,0,0,1,0,0,190,1,0,0,0,0,0,4,
10,4634,אודים,446,2,1,0,406,318,1,317,52,1,1,0,0,0,5,0,0,0,0,0,0,0,0,11,35,0,0,0,1,0,206,0,0,0,0,0,0,5,
3,1282,אודם,4010,1,1,0,121,89,0,89,10,0,1,1,0,0,5,0,0,0,0,0,0,0,0,2,14,0,0,0,1,0,54,0,0,0,0,0,0,1,
18,9743,אוהד,1046,1,1,0,267,185,0,185,6,0,2,0,0,0,16,0,0,0,0,0,0,0,0,1,81,0,0,0,0,0,73,0,0,0,0,0,0,6,
9,3998,אום אלפחם,2710,1,1,0,722,436,5,431,3,0,424,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,3999,אום אלפחם,2710,2,28,0,779,492,1,491,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
9,4000,אום אלפחם,2710,3,3,0,650,424,2,422,3,0,412,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,
9,4001,אום אלפחם,2710,4,3,0,755,501,1,500,1,0,496,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
9,4002,אום אלפחם,2710,5,3,0,726,478,2,476,0,0,467,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,1,0,
9,4003,אום אלפחם,2710,6,5,0,696,455,2,453,2,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,
9,4004,אום אלפחם,2710,7,27,0,695,371,3,368,3,0,361,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
9,4005,אום אלפחם,2710,8,1,0,619,345,1,344,1,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,4006,אום אלפחם,2710,9,7,0,673,422,0,422,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
9,4007,אום אלפחם,2710,10,8,0,579,443,2,441,5,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,
9,4008,אום אלפחם,2710,11,9,0,659,441,6,435,1,0,428,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,
9,4009,אום אלפחם,2710,12,10,0,549,332,0,332,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,
9,4010,אום אלפחם,2710,14,12,0,586,379,4,375,2,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,4011,אום אלפחם,2710,16,16,0,546,338,6,332,2,0,322,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,0,0,
9,4012,אום אלפחם,2710,17,16,0,550,321,0,321,0,0,315,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,
9,4013,אום אלפחם,2710,18,15,0,773,473,4,469,1,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
9,4014,אום אלפחם,2710,19,16,0,755,489,3,486,4,0,478,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,
9,4015,אום אלפחם,2710,20,17,0,736,433,1,432,1,0,426,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,
9,4016,אום אלפחם,2710,21,4,0,721,479,2,477,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,
9,4017,אום אלפחם,2710,22,31,0,549,356,2,354,4,0,347,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,4018,אום אלפחם,2710,23,1,0,688,453,2,451,0,0,442,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,
9,4019,אום אלפחם,2710,24,15,0,755,441,2,439,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,
9,4020,אום אלפחם,2710,25,31,0,617,404,0,404,2,0,399,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
9,4021,אום אלפחם,2710,26,30,0,646,435,2,433,1,0,425,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,
9,4022,אום אלפחם,2710,27,10,0,459,274,4,270,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,
9,4023,אום אלפחם,2710,28,30,0,747,408,3,405,0,0,401,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,
9,4024,אום אלפחם,2710,29,26,0,705,384,3,381,1,1,378,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,4025,אום אלפחם,2710,30,7,0,658,388,1,387,1,0,381,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,
9,4026,אום אלפחם,2710,31,21,0,588,407,2,405,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
9,4027,אום אלפחם,2710,32.1,13,0,624,483,3,480,19,0,459,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
9,4028,אום אלפחם,2710,32.2,13,0,624,395,1,394,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,
9,4029,אום אלפחם,2710,32.3,13,0,624,418,4,414,2,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,
9,4030,אום אלפחם,2710,33,8,0,599,450,2,448,2,0,444,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,4031,אום אלפחם,2710,34,26,0,513,331,5,326,0,0,321,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,
9,4032,אום אלפחם,2710,35,3,0,655,383,5,378,2,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,
9,4033,אום אלפחם,2710,36,16,0,731,472,1,471,0,0,469,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
9,4034,אום אלפחם,2710,37,10,0,599,336,3,333,4,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
9,4035,אום אלפחם,2710,39,12,0,570,337,4,333,1,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,1,
9,4036,אום אלפחם,2710,41,28,0,712,503,1,502,1,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,4037,אום אלפחם,2710,42,29,0,783,475,2,473,0,0,468,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,
9,4038,אום אלפחם,2710,43,7,0,616,378,1,377,2,0,368,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1,
9,4039,אום אלפחם,2710,44,28,0,630,367,1,366,0,0,363,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
9,4040,אום אלפחם,2710,45,5,0,756,519,0,519,5,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,
9,4041,אום אלפחם,2710,46,5,0,594,379,2,377,1,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
9,4042,אום אלפחם,2710,47,12,0,666,372,0,372,2,0,360,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,
9,4043,אום אלפחם,2710,48,16,0,771,505,5,500,0,0,491,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,1,
9,4044,אום אלפחם,2710,49,29,0,595,394,0,394,3,0,388,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
9,4045,אום אלפחם,2710,50,17,0,735,487,4,483,1,0,480,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
9,4046,אום אלפחם,2710,51,3,0,646,394,2,392,1,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
9,4047,אום אלפחם,2710,52,10,0,591,349,3,346,1,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,
9,4048,אום אלפחם,2710,53,4,0,559,338,3,335,1,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
9,4049,אום אלפחם,2710,54,4,0,540,352,2,350,1,0,346,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
9,4050,אום אלפחם,2710,55,8,0,594,364,5,359,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,
9,4051,אום אלפחם,2710,56,4,0,599,402,0,402,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,
9,4052,אום אלפחם,2710,57,10,0,604,350,1,349,1,0,346,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
9,3802,אום אלקוטוף,2024,1,1,0,717,580,1,579,10,0,558,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,
18,9894,אום בטין,1358,1,1,0,691,381,2,379,2,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,2,
18,9895,אום בטין,1358,2,1,0,640,382,4,378,0,0,373,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,
18,9896,אום בטין,1358,3,1,0,680,395,2,393,1,0,384,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,
5,1574,אומן,1108,1,1,0,367,231,0,231,5,4,0,0,0,0,8,0,0,0,0,0,0,0,1,31,135,0,0,0,0,0,41,0,0,0,0,0,0,6,
10,4503,אומץ,680,1,1,0,512,388,0,388,56,0,1,0,0,0,4,0,0,0,0,0,0,0,0,6,57,0,0,0,0,0,258,0,0,0,0,0,0,6,
