שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
מזכרת בתיה,28,10,0,388,5,383,83,0,0,0,0,0,0,34,0,22,1,1,138,0,4,45,13,0,0,4,0,1,0,0,0,0,0,1,0,5,31
מזכרת בתיה,28,20,0,372,9,363,47,0,0,0,0,0,0,28,0,11,0,2,157,0,46,32,18,0,0,5,0,0,0,0,0,0,0,7,0,4,6
מזכרת בתיה,28,30,0,330,2,328,72,2,0,0,1,0,3,30,2,19,1,0,102,0,17,33,10,0,1,4,0,0,0,0,1,1,0,3,0,7,19
מזכרת בתיה,28,40,0,565,4,561,128,0,0,0,0,0,0,67,2,25,0,2,189,1,12,52,45,0,0,9,0,2,0,0,0,0,0,7,0,14,6
מזכרת בתיה,28,50,0,366,6,360,60,1,0,0,1,0,9,21,1,14,0,2,96,0,11,52,13,0,0,3,0,0,1,1,1,1,1,2,0,8,61
מזכרת בתיה,28,60,0,410,1,409,109,0,0,0,0,0,0,36,2,7,0,0,161,0,10,33,21,0,0,1,0,0,0,0,0,0,0,5,0,13,11
מזכרת בתיה,28,70,0,522,2,520,155,1,0,0,1,0,0,36,4,31,1,3,135,0,19,40,55,0,0,11,0,0,2,0,0,0,0,6,0,13,7
מזכרת בתיה,28,80,0,309,6,303,72,3,0,0,0,0,1,27,0,24,1,1,98,0,6,16,17,1,0,4,0,0,0,0,0,0,0,8,0,6,18
מזכרת בתיה,28,90,0,445,4,441,101,0,0,0,0,0,0,42,2,23,0,1,182,0,10,23,25,0,0,4,0,0,0,0,0,0,0,7,0,7,14
מזכרת בתיה,28,100,0,215,4,211,39,0,0,0,0,0,7,8,1,16,0,3,39,0,14,34,3,0,0,1,0,1,1,1,0,0,0,2,0,5,36
יסוד המעלה,29,10,0,255,3,252,60,2,0,0,0,0,1,19,0,24,0,2,81,0,9,26,12,0,0,5,0,0,0,0,0,0,0,5,0,5,1
יסוד המעלה,29,20,0,391,1,390,91,3,0,0,0,0,1,32,1,21,1,3,156,1,7,23,16,0,0,5,0,0,0,0,0,0,0,16,0,11,2
אופקים,31,10,0,196,2,194,66,2,0,0,0,0,0,0,0,17,0,4,21,0,5,34,3,0,0,0,0,1,0,0,0,0,0,1,0,1,39
אופקים,31,20,0,277,4,273,67,35,0,0,0,0,0,0,0,14,0,1,21,1,27,19,14,0,3,0,0,0,0,0,0,0,1,3,0,1,66
אופקים,31,30,0,301,5,296,70,4,0,0,0,0,0,4,0,23,0,17,30,0,17,44,3,0,0,1,0,0,0,0,0,0,0,1,0,3,79
אופקים,31,40,0,296,2,294,87,8,0,0,0,0,0,5,0,22,0,7,30,0,15,31,12,0,0,0,2,0,0,0,0,0,1,1,0,1,72
אופקים,31,50,0,220,3,217,36,5,0,0,0,0,0,3,0,7,0,0,26,0,79,15,11,0,0,0,0,0,0,0,0,0,0,1,1,0,33
אופקים,31,60,0,324,8,316,70,9,0,0,0,0,0,4,1,44,0,2,23,0,53,41,6,0,0,0,1,0,2,0,0,1,0,1,0,0,58
אופקים,31,70,0,340,6,334,99,9,0,0,0,0,0,3,2,19,0,1,35,1,54,41,10,0,0,1,0,0,0,0,1,0,1,2,0,2,53
אופקים,31,80,0,412,0,412,82,12,0,0,0,1,1,2,0,54,0,6,40,0,53,53,3,1,1,1,0,0,0,0,0,1,2,1,0,1,97
אופקים,31,90,0,348,14,334,81,3,0,0,0,0,0,4,0,26,1,1,41,0,75,29,5,0,0,1,0,0,0,1,0,0,0,0,0,1,65
אופקים,31,100,0,493,6,487,41,131,0,0,0,0,0,1,0,16,0,4,11,0,30,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,225
אופקים,31,110,0,550,8,542,32,295,0,0,0,0,0,0,0,16,0,8,11,0,18,10,9,0,0,0,1,0,0,0,0,1,0,0,0,0,141
אופקים,31,120,0,374,6,368,15,187,0,0,0,0,1,0,2,8,0,1,3,0,9,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,129
אופקים,31,130,0,474,3,471,85,23,0,0,0,0,0,10,0,81,1,5,58,0,26,62,3,0,0,1,0,0,0,0,0,0,0,3,0,2,111
אופקים,31,140,0,539,3,536,57,195,0,0,0,0,0,4,0,62,1,9,31,0,8,47,5,0,1,1,0,1,0,0,0,2,0,3,0,0,109
אופקים,31,150,0,389,9,380,27,138,0,0,0,0,0,3,1,25,1,1,19,0,27,21,4,1,0,0,1,0,0,0,0,0,0,1,0,1,109
אופקים,31,160,0,395,10,385,55,6,0,0,0,1,1,2,0,9,0,1,58,0,152,39,12,0,0,0,3,0,1,0,0,2,1,2,0,0,40
אופקים,31,170,0,420,8,412,102,6,0,1,0,0,4,6,0,25,0,4,47,0,76,51,9,0,1,0,0,0,1,0,0,0,2,3,0,1,73
אופקים,31,180,0,296,4,292,73,8,0,0,0,1,1,1,0,23,0,3,29,0,43,32,8,0,0,0,2,0,0,0,0,0,1,1,0,1,65
אופקים,31,190,0,371,10,361,61,2,1,0,0,0,4,0,0,12,1,0,44,0,124,54,8,0,0,1,0,0,1,0,0,0,0,3,0,3,42
אופקים,31,200,0,384,7,377,44,7,0,0,1,0,0,1,0,3,0,0,48,0,159,59,18,0,0,0,0,0,0,0,0,1,0,3,0,3,30
אופקים,31,210,0,304,8,296,40,7,0,0,0,0,0,2,1,11,1,1,55,0,83,28,15,2,0,0,0,0,0,0,0,0,1,1,0,1,47
אופקים,31,220,0,487,2,485,96,15,0,0,0,0,2,8,0,58,0,2,67,0,59,73,12,0,0,1,0,0,0,0,0,0,0,3,0,0,89
אופקים,31,230,0,295,11,284,46,8,0,0,0,0,0,2,1,7,2,0,37,0,101,33,12,0,0,0,0,0,1,1,0,0,0,4,0,1,28
אופקים,31,250,0,335,6,329,44,5,1,0,0,0,1,1,0,6,2,1,44,2,149,32,8,0,0,1,2,0,0,0,0,1,1,2,0,0,26
אופקים,31,260,0,187,7,180,41,1,0,0,0,0,0,1,0,13,0,1,15,0,43,22,4,0,1,0,0,0,0,0,0,0,1,0,0,0,37
אופקים,31,280,0,514,8,506,18,129,4,0,0,0,1,2,0,32,0,0,13,0,42,37,6,0,0,0,0,2,0,0,0,0,0,2,0,2,216
עוצם,32,10,0,258,6,252,41,8,0,0,0,0,1,2,0,7,1,0,11,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,159
בת שלמה,33,10,0,198,2,196,40,1,0,0,3,0,1,16,0,16,0,1,54,0,14,12,15,0,1,3,0,0,0,0,0,0,0,8,0,8,3
גדות,35,10,0,217,0,217,91,0,0,0,0,0,0,13,1,1,1,0,37,0,4,4,51,0,0,2,0,0,1,0,0,0,0,6,0,4,1
שדה דוד,36,10,0,185,4,181,68,7,0,0,0,0,0,2,0,2,0,0,29,0,5,21,0,0,0,1,1,1,0,0,0,1,0,1,0,1,41
איתן,37,10,0,178,1,177,5,3,0,0,0,0,0,7,0,27,0,2,4,0,9,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94
גפן,39,10,0,143,2,141,11,5,0,1,0,0,0,2,0,10,0,6,15,0,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
אליכין,41,10,0,390,6,384,47,39,0,0,0,0,1,12,0,49,1,2,49,0,11,49,1,0,0,1,0,0,0,0,1,0,0,3,0,3,115
אליכין,41,20,0,487,9,478,83,38,0,0,0,0,0,14,0,93,1,2,63,0,11,56,4,0,0,1,0,0,0,0,0,0,0,3,0,5,104
אליכין,41,30,0,422,4,418,55,37,0,0,0,0,0,16,0,56,0,1,68,0,14,46,2,0,0,0,1,0,0,0,0,0,0,2,0,4,116
מטולה,43,10,0,322,5,317,69,6,1,0,0,0,1,32,3,11,0,1,107,0,17,16,17,0,0,2,0,0,0,0,0,1,0,13,0,16,4
מטולה,43,20,0,379,3,376,130,1,0,0,1,0,0,12,1,4,0,2,138,0,9,32,18,0,0,5,0,0,1,0,0,0,0,7,0,12,3
זוהר,44,10,0,171,1,170,48,1,0,0,0,0,0,4,0,1,0,0,18,0,3,33,1,0,0,0,0,0,0,0,0,0,0,1,0,1,59
יבנאל,46,10,0,421,10,411,44,10,0,0,1,0,0,26,1,37,1,4,86,0,14,29,5,1,0,6,0,0,0,0,0,0,0,4,1,2,139
יבנאל,46,20,0,392,3,389,30,6,0,0,0,0,0,19,1,32,1,9,101,0,12,36,3,2,0,6,0,0,1,0,0,1,0,2,0,7,120
יבנאל,46,30,0,449,2,447,35,10,0,0,0,0,0,16,2,34,0,11,104,1,10,34,12,0,0,1,0,0,1,0,0,1,0,3,0,6,166
כפר תבור,47,10,0,431,2,429,111,1,0,0,1,0,0,29,4,24,0,1,167,0,14,22,22,0,0,6,0,0,0,0,0,0,0,8,0,10,9
כפר תבור,47,20,0,446,0,446,108,0,0,0,0,1,0,33,1,17,0,0,180,0,18,28,25,0,0,1,0,2,0,0,0,0,0,11,0,9,12
כפר תבור,47,30,0,424,7,417,129,3,0,0,1,0,0,33,1,14,1,5,132,0,21,25,26,0,0,5,0,0,1,0,0,0,0,5,0,4,11
מנחמיה,48,10,0,276,2,274,51,0,0,0,0,0,0,15,0,14,0,8,50,0,16,32,5,2,0,4,0,0,2,0,0,1,0,2,0,1,71
מנחמיה,48,20,0,281,2,279,56,0,0,0,0,0,0,16,0,21,0,0,57,0,14,29,6,0,0,2,0,0,1,0,2,0,0,3,0,3,69
אילניה,49,10,0,232,1,231,40,2,0,0,0,0,0,17,1,8,0,1,79,0,10,38,9,0,0,1,0,0,0,0,0,0,0,9,0,5,11
לוזית,52,10,0,149,0,149,55,19,1,0,0,0,0,0,0,2,0,1,6,0,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50
עתלית,53,10,0,392,16,376,63,1,0,0,1,0,0,24,1,34,1,2,106,0,37,31,19,0,0,8,0,0,0,0,0,0,0,1,0,3,44
עתלית,53,20,0,284,10,274,25,1,2,0,0,1,0,6,0,33,1,2,45,0,64,17,0,1,0,0,0,1,1,0,0,1,0,5,0,1,67
עתלית,53,30,0,470,10,460,84,4,0,0,0,0,0,13,0,49,1,7,132,0,23,51,4,0,0,3,1,1,0,0,0,0,0,4,0,3,80
עתלית,53,40,0,517,6,511,106,1,1,0,0,1,0,40,0,22,0,2,149,0,30,70,12,0,0,10,0,0,0,0,0,0,0,14,0,12,41
עתלית,53,50,0,410,2,408,95,1,1,0,0,0,0,26,0,37,0,5,128,0,20,31,14,0,0,5,0,0,0,0,0,0,0,4,0,2,39
נוגה,55,10,0,178,3,175,56,1,0,0,0,0,0,5,0,7,0,0,35,0,10,38,2,0,4,2,0,0,0,0,0,1,1,0,0,13,0
כנרת (קבוצה),57,10,0,392,5,387,147,0,0,1,0,0,0,11,0,4,0,0,142,0,18,6,22,0,0,15,0,0,0,0,0,1,0,9,0,8,3
מצפה,58,10,0,77,0,77,21,0,0,0,0,0,0,3,0,1,1,0,36,0,4,4,3,0,0,2,0,0,0,0,0,0,0,1,0,1,0
נחושה,59,10,0,116,0,116,0,2,0,0,0,0,0,1,0,55,0,6,1,0,5,11,1,0,0,3,0,0,0,0,0,0,0,2,0,0,29
דגניה א',62,10,0,333,2,331,175,0,0,0,1,0,0,30,0,3,0,0,54,0,8,5,34,0,0,6,0,0,0,0,0,0,0,9,0,5,1
כנרת (מושבה),63,10,0,263,0,263,64,1,0,3,0,0,0,14,0,14,1,2,84,0,7,36,17,0,0,6,0,0,0,0,0,0,0,5,0,8,1
"יד רמב""ם",64,10,0,429,3,426,53,3,0,0,0,0,0,25,0,63,1,4,103,0,22,70,4,0,0,0,0,0,2,0,0,0,0,5,0,5,66
מגדל,65,10,0,278,2,276,17,2,0,0,0,0,0,12,0,13,1,12,48,0,36,39,4,0,4,1,0,0,0,0,0,0,1,2,0,0,84
מגדל,65,20,0,303,4,299,15,7,1,0,0,0,0,6,0,22,0,7,49,0,51,60,4,0,0,1,0,0,0,0,0,0,0,1,0,0,75
מרחביה (קיבוץ),66,10,0,331,2,329,93,0,0,0,0,0,0,5,2,2,0,0,64,0,9,6,118,1,1,4,0,0,0,0,2,0,0,10,0,5,7
אור הנר,67,10,0,254,4,250,183,0,0,0,0,0,0,5,0,1,0,0,38,0,1,2,15,0,0,1,0,0,0,0,0,0,0,1,0,3,0
ניר עוז,69,10,0,237,1,236,76,0,0,0,0,0,1,7,0,0,0,1,31,0,1,0,112,0,0,0,0,0,0,0,0,0,0,5,0,2,0
אשדוד,70,10,0,279,6,273,26,3,0,0,0,0,0,5,0,12,0,1,65,0,103,27,1,0,0,0,0,0,1,0,1,0,1,2,0,0,25
אשדוד,70,20,0,311,5,306,71,3,0,0,0,0,0,20,0,17,0,0,107,0,21,28,11,0,0,1,1,0,0,0,0,1,2,5,0,1,17
אשדוד,70,30,0,328,7,321,63,7,0,0,1,0,2,14,2,12,1,1,73,0,36,39,7,0,0,0,0,0,1,0,0,0,2,5,0,2,53
אשדוד,70,40,0,230,4,226,21,2,0,1,0,1,6,5,1,30,0,0,28,0,38,31,9,0,0,0,0,0,0,0,0,0,1,3,1,4,44
אשדוד,70,50,0,314,9,305,36,3,0,0,0,0,0,5,0,14,0,0,66,0,60,45,3,1,0,0,0,0,0,0,0,1,1,2,1,2,65
אשדוד,70,60,0,375,18,357,25,3,0,0,0,0,18,5,0,14,1,3,85,0,128,28,2,0,0,1,3,0,0,0,1,4,5,2,0,4,25
אשדוד,70,70,0,280,3,277,36,4,0,0,1,1,0,11,1,14,0,0,71,1,54,34,4,0,0,1,0,0,1,0,1,1,1,0,0,2,38
אשדוד,70,80,0,147,4,143,15,3,0,1,0,0,3,3,1,7,0,1,21,0,33,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,38
אשדוד,70,90,0,343,13,330,42,5,0,0,0,0,11,4,0,6,2,2,47,0,86,40,6,0,2,0,0,1,0,0,0,1,0,0,0,1,74
אשדוד,70,100,0,260,6,254,34,5,0,0,0,0,0,5,0,9,0,2,62,0,54,25,2,0,0,0,0,1,1,1,0,0,0,1,0,0,52
אשדוד,70,110,0,317,12,305,32,9,0,0,0,0,11,16,1,11,1,0,43,0,86,25,3,0,0,0,2,0,0,0,0,0,2,2,0,2,59
אשדוד,70,120,0,221,5,216,26,3,0,0,0,0,2,6,3,6,0,0,43,0,47,25,5,0,1,0,0,0,0,0,0,3,1,3,0,1,41
אשדוד,70,130,0,314,5,309,37,2,1,0,0,0,1,6,1,2,0,0,40,0,102,32,1,1,0,0,0,1,0,0,0,1,0,0,0,1,80
אשדוד,70,140,0,326,9,317,49,11,0,0,0,0,3,11,1,22,0,4,50,1,63,37,3,0,0,2,0,0,0,0,0,1,0,1,0,0,58
אשדוד,70,150,0,371,8,363,45,13,0,0,0,1,5,20,0,23,0,1,66,0,58,32,0,0,0,0,0,1,0,1,1,0,2,2,0,2,90
אשדוד,70,160,0,254,9,245,22,13,0,0,0,0,21,8,0,14,0,0,19,0,35,26,0,0,1,1,0,0,0,0,0,0,2,1,0,0,82
אשדוד,70,170,0,300,12,288,25,4,1,0,0,1,7,3,1,7,0,0,60,1,85,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,71
אשדוד,70,180,0,320,10,310,14,32,0,0,1,2,32,5,0,3,0,1,40,0,33,17,3,0,1,0,1,0,1,0,0,1,1,1,0,0,121
אשדוד,70,190,0,290,16,274,13,8,1,0,1,0,2,5,3,7,2,0,64,1,88,26,0,2,1,0,1,1,0,0,0,0,0,0,0,2,46
אשדוד,70,200,0,318,3,315,42,10,2,0,0,0,3,9,3,10,0,1,55,1,81,25,1,0,1,0,0,1,1,0,0,1,0,4,0,1,63
אשדוד,70,210,0,271,4,267,34,4,0,0,0,0,0,7,0,15,0,1,64,0,53,34,2,0,0,1,0,0,0,0,0,0,0,3,0,2,47
אשדוד,70,220,0,349,21,328,42,10,0,0,0,0,9,8,0,11,1,1,58,0,70,25,4,0,0,0,1,0,0,1,0,0,0,4,1,2,80
אשדוד,70,230,0,280,6,274,60,4,0,0,0,0,0,6,1,19,0,0,68,1,48,29,7,0,0,0,0,0,0,0,0,2,0,4,0,3,22
אשדוד,70,240,0,252,6,246,42,8,0,0,0,0,24,2,0,6,0,1,39,0,42,25,4,0,1,0,0,0,0,0,0,1,0,1,0,2,48
אשדוד,70,250,0,288,14,274,34,8,0,0,1,0,4,6,1,11,1,1,57,0,66,24,3,1,0,0,0,0,1,1,0,0,0,2,0,1,51
אשדוד,70,260,0,386,11,375,30,10,0,0,0,0,33,9,0,18,2,1,49,0,107,48,3,0,1,1,0,0,0,1,0,0,2,2,0,2,56
אשדוד,70,270,0,356,4,352,30,6,0,0,0,0,0,8,0,23,2,2,78,0,67,34,9,1,0,0,0,0,0,0,0,0,0,0,0,6,86
אשדוד,70,280,0,206,5,201,23,4,0,0,0,0,3,8,0,8,0,1,43,0,37,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,39
אשדוד,70,290,0,337,7,330,41,11,0,0,0,0,1,23,1,9,1,2,68,1,58,31,4,0,0,0,0,0,1,0,0,0,1,2,0,3,72
אשדוד,70,300,0,610,5,605,8,127,0,0,0,0,2,0,0,6,0,1,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451
אשדוד,70,310,0,285,8,277,29,12,1,1,0,0,32,4,0,8,1,0,27,0,40,28,3,0,1,1,0,0,0,0,0,2,0,3,0,0,84
אשדוד,70,320,0,446,5,441,0,78,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,357
אשדוד,70,330,0,332,4,328,29,23,0,0,0,0,7,7,2,4,0,3,31,1,46,26,2,0,1,3,0,0,0,0,0,4,1,4,0,2,132
אשדוד,70,340,0,323,8,315,20,31,0,0,0,0,41,1,0,8,1,1,23,0,45,22,0,1,0,0,1,0,0,2,0,2,0,3,0,1,112
אשדוד,70,350,0,276,3,273,22,20,0,0,0,0,10,3,0,18,0,2,44,0,48,18,1,1,0,1,0,0,1,0,0,1,3,3,0,1,76
אשדוד,70,360,0,295,5,290,52,9,0,0,0,0,0,18,0,33,2,0,70,0,28,23,7,0,0,4,0,0,1,0,0,1,0,4,0,1,37
אשדוד,70,370,0,249,9,240,13,15,0,0,1,0,18,1,0,0,0,1,26,0,56,21,1,0,0,5,0,0,0,0,0,1,0,3,0,0,78
אשדוד,70,380,0,275,10,265,44,4,0,0,0,0,0,11,1,17,1,1,59,0,27,29,1,1,1,1,1,1,1,1,0,1,1,1,0,0,60
אשדוד,70,390,0,272,17,255,16,12,0,0,0,0,25,0,0,7,0,0,40,0,59,26,3,1,0,0,0,0,0,3,0,1,1,0,1,2,58
אשדוד,70,400,0,224,6,218,35,3,0,0,0,0,2,5,3,15,0,1,37,1,49,17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,48
אשדוד,70,410,0,291,4,287,19,3,0,0,1,0,8,4,4,3,1,0,38,0,59,24,0,0,0,0,0,1,0,1,0,0,2,5,0,1,113
אשדוד,70,420,0,219,4,215,18,3,0,0,0,1,2,7,1,18,0,0,30,0,33,31,2,0,0,1,0,0,0,0,0,1,0,1,0,0,66
אשדוד,70,430,0,245,11,234,24,3,1,0,1,0,13,5,7,3,0,1,24,0,79,30,1,0,0,1,0,0,0,0,0,1,0,3,0,2,35
אשדוד,70,440,0,541,0,541,1,425,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,111
אשדוד,70,450,0,344,2,342,55,3,0,0,1,1,0,21,1,39,2,2,108,0,17,35,12,0,0,5,0,1,0,0,0,1,3,4,0,8,23
אשדוד,70,460,0,313,11,302,31,5,0,0,0,0,18,4,0,9,2,0,41,0,45,51,3,0,1,0,1,0,0,0,0,0,1,3,0,2,85
אשדוד,70,470,0,331,10,321,35,6,0,0,0,0,12,18,1,9,0,2,48,0,52,58,0,0,1,0,0,0,1,0,1,1,2,3,1,3,67
אשדוד,70,480,0,276,11,265,27,30,0,0,1,0,13,5,0,6,0,1,27,0,50,35,4,1,1,0,1,0,0,1,0,2,0,4,0,1,55
אשדוד,70,490,0,368,18,350,21,8,1,0,0,0,19,7,1,11,1,2,59,0,106,42,0,1,0,0,0,0,0,0,1,1,1,2,0,0,66
אשדוד,70,500,0,276,7,269,32,6,0,0,0,0,11,7,2,7,0,0,46,0,54,33,0,0,0,3,0,0,0,0,1,1,0,3,0,2,61
אשדוד,70,510,0,422,15,407,42,43,0,0,0,1,18,8,0,10,0,1,55,0,91,52,2,1,1,0,0,1,0,1,0,1,2,0,0,3,74
אשדוד,70,520,0,271,8,263,23,5,0,0,0,1,17,3,2,5,2,1,51,0,34,28,2,0,0,2,1,0,0,0,0,0,2,3,0,3,78
אשדוד,70,530,0,439,5,434,50,15,0,0,1,0,0,11,0,71,1,2,73,0,36,43,2,0,1,2,0,0,0,0,0,0,1,3,0,2,120
אשדוד,70,540,0,311,9,302,26,9,0,0,1,0,7,3,2,14,0,3,48,0,67,39,7,0,0,0,0,0,1,0,0,0,1,2,1,3,68
אשדוד,70,550,0,335,5,330,32,10,0,0,0,0,0,8,2,13,2,1,45,1,73,45,0,0,0,2,0,0,0,0,0,1,0,3,0,3,89
אשדוד,70,560,0,396,8,388,51,4,0,0,1,0,0,16,3,23,0,3,95,0,49,51,8,0,0,0,0,1,0,0,0,0,0,2,0,4,77
אשדוד,70,570,0,355,3,352,37,9,0,0,0,0,0,11,0,30,0,0,68,0,45,56,0,0,0,0,1,0,0,0,0,0,2,2,0,1,90
אשדוד,70,580,0,393,16,377,14,11,1,0,2,0,5,2,0,10,0,3,66,1,189,32,4,0,0,0,1,0,0,1,1,0,0,0,0,2,32
אשדוד,70,590,0,438,7,431,16,85,0,1,0,0,21,2,0,19,0,1,31,0,45,33,7,0,0,0,0,0,1,0,0,1,1,0,0,0,167
אשדוד,70,600,0,449,7,442,22,214,0,0,0,1,21,3,0,5,0,0,14,0,42,16,1,0,0,0,0,0,1,0,0,1,0,1,0,0,100
אשדוד,70,610,0,312,10,302,31,10,0,0,0,0,0,16,1,16,0,0,36,0,63,36,4,0,0,2,1,0,2,2,2,0,2,1,0,1,76
אשדוד,70,620,0,537,6,531,5,215,0,0,0,0,0,3,0,4,0,0,8,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
אשדוד,70,630,0,322,7,315,18,53,0,0,0,1,15,4,0,6,0,1,27,0,53,30,0,0,0,1,1,0,0,0,0,0,3,0,0,1,101
אשדוד,70,640,0,256,3,253,24,9,0,0,0,0,0,7,2,20,0,5,51,0,34,34,0,0,1,4,1,0,0,0,0,0,1,1,0,0,59
אשדוד,70,650,0,278,8,270,15,9,0,0,0,0,1,7,1,7,0,2,62,1,78,22,3,1,0,0,0,0,0,0,0,0,0,3,0,1,57
אשדוד,70,660,0,343,7,336,34,7,0,0,0,0,0,17,1,24,1,1,76,0,35,53,2,0,0,1,0,0,0,0,0,0,0,2,0,4,78
אשדוד,70,670,0,334,6,328,50,5,0,0,0,0,5,6,2,15,0,0,54,0,54,28,1,0,0,1,0,0,0,0,0,0,0,2,2,4,99
אשדוד,70,680,0,355,7,348,73,6,0,0,0,0,0,12,0,29,1,0,78,0,36,51,3,0,0,1,1,0,1,1,0,0,2,4,1,3,45
אשדוד,70,690,0,357,11,346,13,78,1,0,0,1,15,16,3,3,0,3,31,0,48,29,2,0,0,1,2,0,0,0,0,0,3,5,0,0,92
אשדוד,70,700,0,215,1,214,34,5,0,0,0,0,0,7,1,10,0,0,36,1,37,23,2,1,0,0,1,0,0,0,0,1,0,2,0,3,50
אשדוד,70,710,0,236,9,227,21,4,1,0,0,0,24,5,1,8,0,0,35,1,24,40,3,0,0,0,1,1,0,0,0,0,0,1,0,0,57
אשדוד,70,720,0,262,3,259,24,6,0,0,0,1,14,7,0,9,0,2,36,0,48,36,1,0,1,0,0,0,0,0,1,0,1,2,0,3,67
אשדוד,70,730,0,183,5,178,14,21,0,0,0,0,21,3,0,6,1,0,22,1,26,27,4,0,1,0,0,0,0,0,0,0,1,1,0,0,29
אשדוד,70,740,0,262,7,255,27,9,0,0,0,1,19,3,2,14,0,2,31,0,23,37,1,0,0,0,0,0,0,0,0,0,0,3,0,2,81
אשדוד,70,750,0,286,6,280,19,8,0,0,0,0,29,4,3,11,2,0,25,0,78,36,2,0,1,1,0,1,1,0,0,1,0,2,0,0,56
אשדוד,70,760,0,366,4,362,58,7,0,0,0,0,2,17,0,38,1,2,56,0,52,40,3,0,0,1,1,0,1,0,0,0,1,2,0,3,77
אשדוד,70,770,0,306,12,294,27,1,0,0,0,0,4,10,2,18,0,2,68,0,67,37,3,0,0,1,0,1,0,0,0,1,3,2,0,1,46
אשדוד,70,790,0,345,5,340,44,4,1,0,0,0,0,28,1,22,0,7,72,0,40,53,2,3,1,0,1,0,0,0,0,0,0,4,0,1,56
אשדוד,70,800,0,183,7,176,14,8,0,1,0,1,1,4,1,1,0,2,28,0,33,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,44
